komentar,komentar_bersih,label_final,alasan_label
"​ @SAVIERSIGNATURE Nah ini banget! makanya ga gmn pd hancur hati mrk...para pemain timnas diaspora itu perjuangan pengorbanannya ga main2 lho, tp Kluivert malah main2 dgn nasib mrk + bangsa ini!!",gmn hancur hati mrkpara pemain timnas diaspora juang korban main lho kluivert main nasib mrk bangsa,negatif,Kritik terhadap Kluivert yang dianggap mempermainkan nasib pemain dan bangsa.
Iya lagi,iya,netral,Respons singkat tanpa sentimen jelas.
"Apapun hasilnya, garuda tetap didadaku slamanya❤ kalian pahlawan2 hebat, masuk round 4 aja dah sangat wah bagi Indonesia, 1 1 nya negara ASEAN yg bs lolos sampe round 4❤ nanti kita benahi lgi mulai di Piala Asia❤",apa hasil garuda dada slamanya pahlawan hebat masuk round dah indonesia negara asean bs lolos sampe round benah lgi piala asia,positif,"Berisi dukungan, kebanggaan, dan apresiasi kepada Garuda."
​ @feri_irawan_corner ​​ Ya lo liat aja nanti kalo pak erik mundur sepak bola kita gimana? Kalo gak ada pak erik pas kejadian kanjuruhan sepak bola kita harusnya di ban tapi karena pak erik dekat sama fifa jadi di bantu sama fifa sampe ada kantor di Indonesia. Harus liat lebih luas lagi jangan karena egois emosi yg bicara.,ya liat kalo erik mundur sepak bola gimana kalo erik jadi kanjuruhan sepak bola ban erik fifa bantu fifa sampe kantor indonesia liat luas egois emosi bicara,positif,Membela Erick Thohir dan kontribusinya setelah Kanjuruhan.
"Menang kalah udah hal biasa dlm permainan sepak bola, yg penting ke depannya PSSI akan lebih baik dan sukses ke depannya....bravo Garudaku rakyat bertrimakasih dgn perjuangan kalian di lapangan hijau.....❤❤❤❤",menang kalah udah main sepak bola depan pssi sukses depannyabravo garuda rakyat bertrimakasih juang lapang hijau,positif,Menerima hasil dan mengapresiasi perjuangan Garuda.
"Quotesnya adalah : "" perbedaan budaya juga bahasa tidak lebih buruk daripada apapun semua harus sama. """,quotesnya beda budaya bahasa buruk apa,netral,Berisi kutipan umum tanpa sentimen jelas terhadap Timnas.
"1:08 5 tahun timnas ditukangi oleh sty Bahkan sepak bola Indonesia berkembang pesat diera sty, tapi hasil perjuangan timnas dengan sty hancur dalam waktu kurang dari 1 tahun",timnas tukang sty sepak bola indonesia kembang pesat era sty hasil juang timnas sty hancur,negatif,Mengkritik keputusan yang membuat perkembangan era STY dianggap hancur.
Pelatih kepala tetap dipertahankan. Karena udh cukup bagus bisa membawa sampai ke round 4,pelatih kepala tahan udh bagus bawa round,positif,Mendukung pelatih kepala dipertahankan karena dinilai cukup bagus.
"Sudah di rombak bro , banyak yg di pecat , STY itu orangnya PSSI dan ada 2 kubu di PSSI karena banyaknya orang2 si E",rombak pecat sty orang pssi kubu pssi banyak orang si,netral,Membahas kondisi internal PSSI secara deskriptif.
Sty malah dicopot. Malah patrik .JD. Benar benar gak suka sama petrik itu.padahal tinggal terusan pk malah.. diubah ubah.pemain bagus smua,sty copot patrik suka trik itupadahal tinggal terus pk ubah ubahpemain bagus smua,negatif,Kritik terhadap pencopotan STY dan tidak suka Patrick.
"​ @garyrebelchannel hormati yg kalah,akui yg menang..hindari omon - omon...",hormat kalahakui menanghindari omon omon,netral,Ajakan menghormati hasil pertandingan.
Cuman gara2 PK hadir interview saat hari raya natal,cuman gara pk hadir interview raya natal,netral,"Pernyataan faktual tentang kehadiran PK saat interview, tanpa sentimen kuat."
Erick OUT,erick out,negatif,Menuntut Erick keluar.
"Setuju bang, karena sty yang berhasil kalau pun gagal. Harus bersama ieng yang pernah berhasil membawa nya",tuju bang sty hasil gagal ieng hasil bawa,positif,Mendukung STY karena dinilai berhasil membawa Timnas sejauh ini.
Dan saya salah satunya,salah satu,netral,Komentar sangat singkat dan tidak menunjukkan sentimen jelas.
"Wasitnya bagus Al Ali, tegas...",wasit bagus al ali,positif,Apresiasi terhadap kualitas wasit.
​ @linpakede8607 Nepal kan? 🤔,nepal,netral,Pertanyaan singkat.
",,,pdhl dia jg pengen timnas ke piala dunia,,,cm salahnya knp mengganti sty di tengah jalan,,maksudnya pengen timnas lebih maju dan lolos ke pildun,,,tp malah blunder,,,dan untuk menutupi kesalahan dia akhirnya dia bilang seperti itu,,namun andai sty msh dipertahankan,,,mungkin aja timnas bs lolos pildun,,,nama pa erik pasti bagus jg di mata pecinta timnas karena berhasil membawa timnas ke piala dunia",pdhl jg ken timnas piala duniacm salah ganti sty jalanmaksudnya ken timnas maju lolos pilduntp blunderdan tutup salah bilang itunamun andai sty msh dipertahankanmungkin timnas bs lolos pildunnama pa erik bagus jg mata cinta timnas hasil bawa timnas piala dunia,negatif,Mengkritik keputusan mengganti STY dan menyebutnya blunder.
​​ @MuhammadMiftah-d5i lu doang kali yang begitu..,doang kali,netral,Balasan personal tanpa sentimen jelas terhadap Timnas.
formalitas bro,formalitas,negatif,Komentar singkat bernada meremehkan/formalitas.
Lawan arab apa kabar Yakob..gak jelas lu min,lawan arab kabar yakobgak,negatif,Kritik terhadap Yakob/admin.
Minimal skil 1 dlu bang jgn lngsung ulti 😂 🔥🔥🔥,minimal skil dlu bang jgn lngsung ulti,netral,Komentar bercanda tanpa opini jelas terhadap Timnas.
"6:00 itu bung makanya pas era coach shin mereka gak bisa buat seenaknya,gak mungkin pemain masuk konten podcast kalau gak ada ijinnya",era coach shin seenaknyagak pemain masuk konten podcast ijinnya,positif,Mengapresiasi kedisiplinan era Coach Shin.
Gk lolos krna blm layak gtu aj kq ribet. Itali yg juara dunia juga prnah gk lolos thn inipun blm tentu lolos apalagi indo. Akal sma logika digabungin biar bsa mikir waras,lolos krna blm layak gtu aj kq ribet itali juara dunia prnah lolos thn ini blm lolos indo akal logika digabungin biar bsa mikir waras,negatif,Menilai Indonesia belum layak lolos dan mengkritik pola pikir publik.
"Tahu kondisi pemain, tahu kondisi lawan..",kondisi pemain kondisi lawan,netral,"Pernyataan singkat tentang kondisi pemain dan lawan, tanpa emosi jelas."
Iya kalau sty masih ada beda cerita walaupun masalah komunitas gk masalah yg penting bagus jadi pelatih,iya sty beda cerita komunitas bagus pelatih,positif,Menyatakan STY akan memberi cerita berbeda dan menilai kualitasnya bagus.
"Pergantian pelatih di tengah jalan memang kesalahan Erik thohir....tapi menurut gw Erik thohir adalah ketua PSSI terbaik yg pernah ada...Timnas indonesia bisa melangkah sejauh ini karna Erik thohir yg berhasil mendatangkan banyak pemain naturalisasi berkualitas...... Erik thohir juga semangat berusaha memperbaiki liga sepakbola Indonesia ...menata liga Indonesia , membentuk liga 4 akar rumput dll.......... Belum ada yg bisa gantiin Thohir........... Kalau Thohir di ganti paling pengganti nya kayak nurdin halid😂",ganti pelatih jalan salah erik thohirtapi erik thohir ketua pssi baik adatimnas indonesia lang erik thohir hasil pemain naturalisasi kualitas erik thohir semangat usaha baik liga sepakbola indonesia tata liga indonesia bentuk liga akar rumput dll gantiin thohir thohir ganti ganti nurdin halid,positif,"Berisi kritik, tetapi dominan memuji Erick sebagai ketua PSSI."
ivan kolev sii kalo gw,ivan kolev sii kalo,netral,Memberikan usulan nama pelatih tanpa sentimen kuat.
"Podcast Trivella Selanjutnya Seru ni 😂, patut untuk ndi tunggu",podcast trivella seru ni patut ndi tunggu,netral,"Komentar tentang podcast selanjutnya, bukan sentimen Timnas."
Kalaupun sty di kasih kesempatan dan ga digantikan mungkin beda cerita di round 4 ini mungkin bisa saja indo menang lawan arab dan imbang lawan irak bisa (menang juga) mungkin Indonesia lolos,sty kasih sempat ganti beda cerita round indo menang lawan arab imbang lawan irak menang indonesia lolos,negatif,Kritik pergantian STY karena dianggap bisa berbeda hasilnya.
"@Bulanpurnama16 Inter era Jose Maurinho bisa treble winner gegara taktir parkir bus, dg penguasan bola kurang dari 40% bahkan cuma 30%",inter era jose maurinho treble winner gegara taktir parkir bus dg kuas bola,positif,Memberi contoh positif keberhasilan taktik parkir bus Mourinho.
Naturalisasi sebelum ET cuma sekelas pemain medioker. Pemain naturalisasi yg skrg mau gabung krn liat ET.,naturalisasi et kelas pemain medioker pemain naturalisasi skrg gabung liat et,positif,Memberi apresiasi kepada ET karena menarik pemain naturalisasi bagus.
Ogah amat..masih babyak pelatih yg lebih baik....duniamu sempit amat cuma STY taunya,ogah amatmasih babyak pelatih baikduniamu sempit sty tau,negatif,Kritik terhadap pandangan yang hanya berfokus pada STY.
"Njirr gua Yang menggagalkan Mimpi timnas ke Pildunn,Sorry Cokk🗿",njirr gagal mimpi timnas pildunnsorry cokk,negatif,Sarkasme tentang kegagalan mimpi Timnas.
"STY baru dipecat juga,jadi sama"" gatot,gagal total😂",sty pecat jugajadi gatotgagal total,negatif,Menyebut STY dan PK sama-sama gagal dengan nada sindiran.
"insting bisnis man itu klo ga untung bgt ya rugi bgt, udh biasa itu ga ada itu setengah2, emang namanya gambling seperti itu, pertaruhkan segalanya tapi ya jangan di timnas juga sih, terlalu gila..",insting bisnis man untung ya rugi udh emang nama gambling taruh ya timnas gila,negatif,Mengkritik pola gambling ET terhadap Timnas.
"​ @ranggaa741 kau tengok blok waktu awal sty melatih timnas, indo selevel Laos, jgn kn masuk piala asia atau dunia, menang lawan Vietnam aja ga berani mimpi.. kau fikir enak bangun tim..",kau tengok blok sty latih timnas indo level laos jgn kn masuk piala asia dunia menang lawan vietnam berani mimpi kau fikir enak bangun tim,positif,Membela proses pembangunan Timnas era STY.
Referee 💩,referee,negatif,Kritik/umpatan terhadap wasit.
"Cakep banget pemain PERSIB mainnya, Tom, Aliano, SALUT ATAS PERJUANGSN KALIAN.",cakep pemain persib main tom aliano salut perjuangsn,positif,Pujian kepada pemain dan perjuangan mereka.
"@tukangkayu9922 emang sebelum masa kepemimpinan ET pernah ta kita ngebayangin juara 4 piala asia sama bisa ke kualifikasi Pildun, AFF aja syulit",emang pimpin et ta ngebayangin juara piala asia kualifikasi pildun aff syulit,positif,Membela/mengapresiasi capaian era Erick Thohir.
KLO menang mah kgak ada bosennya mas😂,menang mah kgak bosennya mas,netral,Komentar umum tentang menang tanpa kritik/dukungan jelas.
"Musuh sejati sepakbola indonesia itu cmn 1, PSSI.",musuh sejati sepakbola indonesia cmn pssi,negatif,Menyebut PSSI sebagai musuh utama sepak bola Indonesia.
"Yg harus mundur itu patrick bukan ET, kenapa ??? Skuad timnas mewah itu karena tangan dingin ET, kalian tau timnas era STY sebelum ET jadi PSSI yg di naturalisasi itu hanya Klok, Amat, Walsh dan terakhir pattynama, jadi tetap perjalanan timnas sampai ke round 4 tidak lepas dari tangan dingin ET yg punya relasi luas, realisitis lah jangan pake hati",mundur patrick et skuad timnas mewah tangan dingin et timnas era sty et pssi naturalisasi klok walsh pattynama jalan timnas round lepas tangan dingin et relasi luas realisitis pake hati,positif,"Berisi dukungan, apresiasi, pembelaan, atau harapan positif terhadap Timnas, pemain, STY, atau pihak terkait."
Mudah2n gk kapok squad yg abroad untuk membela Indonesia,mudah kapok squad abroad bela indonesia,positif,Harapan agar pemain abroad tetap membela Indonesia.
Indonesia luar biasa tetep semangat gagal bisa di ulang taun depan,indonesia tetep semangat gagal ulang taun,positif,Dukungan agar tetap semangat meskipun gagal.
Alex fastoor yg ambil alih,alex fastoor ambil alih,netral,Hanya menyebut nama calon/pihak yang mengambil alih tanpa emosi jelas.
"Ke dpn,, dgn kwalitas kedalaman skuad Timnas yg ada saat ini,, Mungkin dgn Pelatih Lokal yg disiplin & mempunyai jiwa Nasionalisme tinggi,, itu akn jauh Lebih baik drpda hrs kembali di Latih oleh pelatih Asing yg notabe nya hanyalah Pekerja profesional bola yg mgkin tdk akn pernah memahami arti dr rasa Cinta & Nasionalisme itu sendiri..",dpn kwalitas dalam skuad timnas pelatih lokal disiplin jiwa nasionalisme akn drpda hrs latih pelatih asing notabe kerja profesional bola mgkin akn paham arti cinta nasionalisme,negatif,Mengkritik pelatih asing dan menilai pelatih lokal lebih tepat.
"Tiap hari makin banyak aja orang bahas ρυℓαυωιɴ, gue makin bingung sumpah.",orang bahas bingung sumpah,netral,Komentar spam/istilah Pulauwin tanpa opini Timnas.
​ @ikbalbaik064 Dan hasilnya sekarang 0 bearteap beri dukungan kepada pemain timnas Indonesia,hasil bearteap dukung pemain timnas indonesia,positif,Mengajak memberi dukungan kepada pemain Timnas Indonesia.
Sangat se7 dari pada pelatihan ini yang katanya total football tapi pada kenyataannya total gagal 😂😂,latih total football nyata total gagal,negatif,Mengkritik pelatih saat ini sebagai total gagal.
"Peluang banyak di babak pertama tapi gak dijadiin gol, 1 serangan Iraq gak ditahan jadi gol membuyarkan segalanya !",peluang babak dijadiin gol serang iraq tahan gol buyar,negatif,Kritik atas peluang yang gagal dimanfaatkan.
Sangat setuju banget bung,tuju,positif,Menyatakan sangat setuju terhadap isi pembahasan.
Harus diakui. TIMNAS GARUDA sudah progres sangat cepat. Usaha pasti sudah gila gilaan. Terima kasih kepada siapapun yg telah berkontribusi.,aku timnas garuda progres cepat usaha gila gila terima kasih kontribusi,positif,Mengapresiasi progres cepat Timnas dan berterima kasih.
Setuju karena coach sty membangun sepakbola Indonesia dari nol sampe menuju kepildun,tuju coach sty bangun sepakbola indonesia nol sampe kepildun,positif,Mengapresiasi STY membangun sepak bola Indonesia dari nol.
Timnas Ksyngan Ku.....Klian Semua Sangat Trbaik Dan Tlah Mmbuktikan Kmampuan Yg Luar Biasa Trus Lah Brjuang & Ttap Smangat Sprti Biasa Krena 2030 Tlah Menanti Kalian,timnas ksyngan kuklian trbaik tlah mmbuktikan kmampuan brjuang ttap smangat sprti krena tlah,positif,Pujian dan dukungan kepada Timnas untuk masa depan.
"@yondanurcahyopranata YAP, KITA TERIMAKASIH BNYK SM STY UDAH BISA BKIN KITA LOLOS ROUND 3, PEMBINAANYA SEJAK BEBERAPA THN TERAKHIR LUAR BIASA, DAN KALA ITU SUPOTER BLG STY UDAH MENTOK, MAKANYA LAHIR TAGAR STYOUT SETELAH KALAH DR CHINA, SKRG PK KALAH DR ARAB DAN IRAQ LAHIR TAGAR PKOUT, HAL WAJAR ITU NAMANYA KECEWA. DAN ITU SELALU TERJADI. TAPI GBS TUH MEMBANDINGKAN PK SM STY, SECARA DURASI KEPELATIHAN AJA BEDA. TAPI FINE KALO PK TUJUANNYA DIREKRUT CUMA BUAT LOLOSIN INDO K WC, YAUDAH MINTA AJA MUNDUR SESUAI KONTRAK. TAPI KALO ALASANNYA LAIN ? MISALNYA HADIRNYA PK UNTUK BAWA BYK PEMAIN DIASPORA INDO KEDEPANNYA KRN STRATEGI DIASPORA INI TERBUKTI BERHASIL BAWA INDO SMPE KUALIFIKASI R4? JADI UDAHLAH KASIH WAKTU KALO KATA GUE BUAT PIALA ASIA 2027, KALOPUN MAKSA GANTI AJA PELATIHNYA SAMA ALEX PASTOOR YG CV KEPELATIHANNYA TERBUKTI BAWA AJAX JADI JUARA ERADIVISI.",yap terimakasih bnyk sty udah bkin lolos round pembinaanya thn supoter blg sty udah mentok lahir tagar styout kalah china skrg pk kalah arab iraq lahir tagar pkout wajar nama kecewa gbs tuh banding pk sty durasi latih beda fine kalo pk tuju rekrut lolosin indo wc yaudah mundur sesuai kontrak kalo alas hadir pk bawa byk pemain diaspora indo depan strategi diaspora bukti hasil bawa indo smpe kualifikasi udahlah kasih kalo piala asia kalo maksa ganti latih alex pastoor cv latih bukti bawa ajax juara eradivisi,positif,Mengapresiasi STY dan memberi pandangan konstruktif untuk waktu ke depan.
Kita? lo aja kali gua nga,kali nga,netral,Tanggapan singkat tanpa opini jelas.
"andai sty bisa menang lawan bahrain cina , bikin berat kenapa itu pemuja anda sty itu tidak bisa menang lawan bahrain cina , kenapa menit akhir unggul sama bahrain sty masuk kan witan bukan defender kenapa kapan kalian sadar sty tidak bagus",andai sty menang lawan bahrain cina bikin berat puja sty menang lawan bahrain cina menit unggul bahrain sty masuk witan defender sadar sty bagus,negatif,Mengkritik STY karena gagal menang lawan Bahrain/Cina.
"Auto Pecat Si Kepala Botak, Kembalikan Era STY 😢😢",auto pecat si kepala botak kembali era sty,negatif,Menuntut Kluivert dipecat dan STY kembali.
Timnas belum siap..negara yg langganan lolos ke pildun sudah terbentuk jauh jauh hari.. contoh kecil Italia yang baru regenerasi aj terancam ga lolos..kita harusnya tau diri..,timnas siapnegara langgan lolos pildun bentuk contoh italia regenerasi aj ancam loloskita,netral,Analisis bahwa Timnas belum siap dan perlu realistis.
Semoga sty come back,moga sty come back,positif,Harapan agar STY kembali.
Coba lagi untuk pildun 2026-2030🎉😂,coba pildun,positif,Mengajak mencoba lagi pada edisi berikutnya.
Salah bung musuh utamanya ya ekspektasi terlalu tinggi hahaha,salah musuh utama ya ekspektasi,netral,Analisis bahwa masalah utama adalah ekspektasi tinggi.
"Setuju...harus ada yg bertanggung jawab.... setuju dg kata Bro Ferry jg tentang ""Sportsmanship""",setujuharus tanggung tuju dg ferry jg sportsmanship,negatif,"Berisi kritik, kekecewaan, atau sindiran terhadap pelatih, PSSI, Erick Thohir, Patrick/Kluivert, atau kegagalan Timnas."
Menanti pendapat komentar coach Anjas Sucipto,dapat komentar coach anjas sucipto,netral,Hanya menunggu pendapat/komentar pihak lain.
​ @belajarpekus beda taktis bos sty dgn pk.. ​ yg km lihat adalah sebagian kekurangan nnya tp kelebihan dia membawa timnas km TDK PERNAH TAU.. org yg mengikuti timnas SANGAT PASTI paham yg sudah di lakukan STY.. gua dulu diawal pembenci sty krna gua lebih suka L.MILA tp lama kelamaan sty bisa membangkitkan timnas walaupun ada kalahnya tp dri segi permainan jauh lebih baik di banding sebelum2 nya.,beda taktis bos sty pk km lihat kurang nnya lebih bawa timnas km orang ikut timnas paham laku sty awal benci sty krna suka lmila sty bangkit timnas kalah dri segi main banding,positif,Apresiasi terhadap STY karena dianggap membangkitkan Timnas dan permainan lebih baik.
Es teh ye lagi,es teh ye,netral,Komentar singkat/vague tentang STY.
Betul secara psikologi itu lebih ideal,psikologi ideal,netral,Persetujuan/penilaian singkat yang bersifat umum.
Makasih buat semua pemain tim nas kalian sudah bermain sangat baik buat indonesia semangat terus jangan padam kami tetap dukung kalian,makasih pemain tim nas main indonesia semangat padam dukung,positif,Ucapan terima kasih dan dukungan kepada pemain Timnas.
"​ @EmmangPlays ga ada yg salahkan pemain sih itu penilaian sudut pandang Anda doang Realitanya gak gini, akun ig pemain diserang tuh wkwkw bahkan wasit lawan Iraq aja diserang Jujur gw malu",salah pemain nilai sudut pandang doang realitanya gin akun ig pemain serang tuh wkwkw wasit lawan iraq serang jujur malu,negatif,"Berisi kritik, kekecewaan, atau sindiran terhadap pelatih, PSSI, Erick Thohir, Patrick/Kluivert, atau kegagalan Timnas."
"When your team is fighting, but you stab them in the back. That's a real crime.:text-green-game-over:",when your team is fighting but you stab them in the back thats real crimetextgreengameover,negatif,"Menyebut tindakan menusuk tim sebagai kejahatan, bernada kritik keras."
Sty out. Pk out dan cari pelatih yg kelas dunia Gus hiding tah van brongkos,sty out pk out cari pelatih kelas dunia gus hiding tah van brongkos,negatif,"Kritik terhadap STY dan PK, meminta pelatih baru."
Takdir semua sdh tertulis...,takdir sdh tulis,netral,Komentar fatalistik tentang takdir tanpa emosi jelas.
Bahas pildun 2030 min katanya peserta 64 tim,bahas pildun serta tim,netral,Pertanyaan/informasi tentang Pildun 2030.
melainkan 5 bek dan harus pakai serangan counter atttack,bek pakai serang counter atttack,netral,Usulan taktik/formasi tanpa emosi kuat.
KEMBALIKAN STY.BERSAMA STY.TIMNAS SEMAKIN JAYA,kembali stybersama stytimnas jaya,positif,Mendukung pengembalian STY demi kejayaan Timnas.
​ @fely7488 caiiirrr caiirr😅😂😂,caiiirrr caiirr,netral,Komentar bercanda tanpa sentimen jelas.
"Sok,sekarang mau hujat siapa lagi",soksekarang hujat,negatif,Menyindir pihak yang akan dihujat.
"Erik out,arya out.patrik out..pak prabowo segera audit erik !!!",erik outarya outpatrik outpak prabowo audit erik,negatif,"Menuntut Erick, Arya, dan Patrick keluar."
Wkwk cuma jepang kita lepas tangan 😂,jepang lepas tangan,netral,Komentar bercanda dan tidak jelas sentimennya.
Siapa suruh ganti sty keluatan mainnya kucar kacir,suruh ganti sty luat main kucar kacir,negatif,Mengkritik keputusan mengganti STY dan permainan yang kacau.
udah di restart seting pabrik 🤣🤣🤣,udah restart ting pabrik,netral,Komentar bercanda tentang restart setelan pabrik.
​ @rakastevencoi karena yg lain pake caranya defense itali.,pake defense itali,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
"Agree. pelatih yg lbh baik pasti banyak tp paling penting adalah pelatih yg cocok utk timnas. yg kaya taktik, mengerti kultur dan karakter para pemain, memahami kelebihan dan kekurangan timnas. sejauh ini STY yg paling cocok. tinggal dijadikan role model utk mencari pelatih dan tdk hrs STY",agree pelatih lbh pelatih cocok timnas kaya taktik erti kultur karakter pemain paham lebih kurang timnas sty cocok tinggal jadi role model cari pelatih hrs sty,positif,Dukungan terhadap pandangan bahwa STY cocok untuk Timnas.
Thanks to sty your my the best coach,thanks to sty your my the best coach,positif,Apresiasi kepada STY sebagai pelatih terbaik.
"Kalau tau gagal ya gak ganti bro. Namanya juga usaha pengin lolos, semua negara penginnya lolos ,tp kalau memng blm rejekinya.",gagal ya ganti nama usaha pengin lolos negara pengin lolos memng blm rejekinya,netral,Komentar menjelaskan usaha lolos dan faktor rezeki tanpa emosi kuat.
Ya...karna.sty...udah ada di hati...❤❤❤,yakarnastyudah hati,positif,Mengungkapkan kedekatan/dukungan kepada STY.
"Hhhh,,😂😂",hhhh,netral,Komentar tawa tanpa opini yang jelas.
Alhamdulillah. Terima kasih Allah SWT atas kesempatan yang diberikan hingga 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩 bisa mencapai sejauh ini dlm perjalanan WC2026. Semoga 🇮🇩 bisa sukses di ajang-ajang lainnya. Aamiin YRA 🤲🤲🤲🤲🤲,alhamdulillah terima kasih allah swt sempat capai jalan wc moga sukses ajangajang aamiin yra,positif,Bersyukur dan berharap Indonesia sukses di ajang lain.
Menunggu proses😅,tunggu proses,netral,Pernyataan umum menunggu proses tanpa sentimen kuat.
Air mata buaya,air mata buaya,negatif,Sindiran air mata buaya.
Mungkin belum saatnya nya timnas ke WC 26 . Toh timnas kalah nya tipii 2-3 dari Arab Saudi dan 1-0 dari Irak . 2 tim besar di Asia .,timnas wc timnas kalah tipi arab saudi irak tim asia,positif,Menerima kegagalan dan menilai Timnas kalah tipis dari tim besar.
"​ @rakastevencoi nah itu yg dipermasalahkan , kecermatan Federasi dan pelatih sana jg dipertanyakan . Dan regenerasi pemain² Italia sendiri kalah sama negara dikawasannya. Beda dengan era sebelumnya. Bahkan dia abis juara euro, abis itu 2x gagal pildun. Banyak yg bilang itali fokus bergantung sama pemaen² kunci yg udah tua. Lagi² efek kegagalan federasi nya kurang cermat. Dan pelatih nya. Apalagi regenerasi nya kalah sama negara² lain dikawasan. Kita Indonesia bek bejibun mana bagus² bgt 😂, cocok bgt padahal make skema lebih bertahan dgn 3 bek.",masalah cermat federasi pelatih jg regenerasi pemain italia kalah negara kawasan beda era abis juara euro abis gagal pildun bilang itali fokus gantung pemaen kunci udah tua efek gagal federasi cermat pelatih regenerasi kalah negara kawasan indonesia bek bejibun bagus cocok make skema tahan bek,negatif,"Berisi kritik, kekecewaan, atau sindiran terhadap pelatih, PSSI, Erick Thohir, Patrick/Kluivert, atau kegagalan Timnas."
"Cari kambing hitam atau suudzon sama orang ga baik bro, yang disalahin itu pelatihnya kocak yg salah pilih pemain ga kyk di era sty 😅",cari kambing hitam suudzon orang disalahin latih kocak salah pilih pemain kyk era sty,negatif,Kritik terhadap pelatih karena salah memilih pemain.
beckam bocah baru kmrin sore sok2an pling kayak senior sja,beckam bocah kmrin sore sok an pling senior sja,negatif,Mengkritik Beckham sebagai pemain yang belum layak.
Ini ＰＵ𝙇𝘼𝙐𝙒𝙄𝙉 kok kayak jadi simbol ‘gue udah tau sesuatu tapi lo belum’.,simbol udah,netral,Komentar spam/istilah Pulauwin tanpa opini Timnas.
Iya kalok dari awal udah tau mau gagal,iya kalok udah gagal,negatif,Bernada sindiran bahwa kegagalan sudah diketahui dari awal.
